n1,n2,n3,n4,n5,n6
1,2,3,4,33,37
1,2,3,4,33,38
1,2,3,4,33,39
1,2,3,4,33,40
1,2,3,4,33,41
1,2,3,4,33,42
1,2,3,4,33,43
1,2,3,4,33,44
1,2,3,4,33,45
1,2,3,4,34,35
1,2,3,4,34,36
1,2,3,4,34,37
1,2,3,4,34,38
1,2,3,4,34,39
1,2,3,4,34,40
1,2,3,4,34,41
1,2,3,4,34,42
1,2,3,4,34,43
1,2,3,4,34,44
1,2,3,4,34,45
1,2,3,4,35,36
1,2,3,4,35,37
1,2,3,4,35,38
1,2,3,4,35,39
1,2,3,4,35,40
1,2,3,4,35,41
1,2,3,4,35,42
1,2,3,4,35,43
1,2,3,4,35,44
1,2,3,4,35,45
1,2,3,4,36,37
1,2,3,4,36,38
1,2,3,4,36,39
1,2,3,4,36,40
1,2,3,4,36,41
1,2,3,4,36,42
1,2,3,4,36,43
1,2,3,4,36,44
1,2,3,4,36,45
1,2,3,4,37,38
1,2,3,4,37,39
1,2,3,4,37,40
1,2,3,4,37,41
1,2,3,4,37,42
1,2,3,4,37,43
1,2,3,4,37,44
1,2,3,4,37,45
1,2,3,4,38,39
1,2,3,4,38,40
1,2,3,4,38,41
1,2,3,4,38,42
1,2,3,4,38,43
1,2,3,4,38,44
1,2,3,4,38,45
1,2,3,4,39,40
1,2,3,4,39,41
1,2,3,4,39,42
1,2,3,4,39,43
1,2,3,4,39,44
1,2,3,4,39,45
1,2,3,4,40,41
1,2,3,4,40,42
1,2,3,4,40,43
1,2,3,4,40,44
1,2,3,4,40,45
1,2,3,4,41,42
1,2,3,4,41,43
1,2,3,4,41,44
1,2,3,4,41,45
1,2,3,4,42,43
1,2,3,4,42,44
1,2,3,4,42,45
1,2,3,4,43,44
1,2,3,4,43,45
1,2,3,4,44,45
1,2,5,6,7,8
1,2,5,6,9,10
1,2,5,6,11,12
1,2,5,6,13,14
1,2,5,6,15,16
1,2,5,6,17,18
1,2,5,6,19,20
1,2,5,6,21,22
1,2,5,6,23,24
1,2,5,6,25,26
1,2,5,6,27,28
1,2,5,6,29,30
1,2,5,6,31,32
1,2,5,6,33,34
1,2,5,6,35,36
1,2,5,6,37,38
1,2,5,6,39,40
